DATE,WILL5000INDFC
1989-12-29,8.84
1990-01-01,.
1990-01-02,8.97
1990-01-03,8.97
1990-01-04,8.91
1990-01-05,8.83
1990-01-08,8.86
1990-01-09,8.78
1990-01-10,8.71
1990-01-11,8.73
1990-01-12,8.54
1990-01-15,8.46
1990-01-16,8.53
1990-01-17,8.47
1990-01-18,8.48
1990-01-19,8.50
1990-01-22,8.31
1990-01-23,8.31
1990-01-24,8.27
1990-01-25,8.18
1990-01-26,8.15
1990-01-29,8.13
1990-01-30,8.06
1990-01-31,8.19
1990-02-01,8.20
1990-02-02,8.26
1990-02-05,8.30
1990-02-06,8.26
1990-02-07,8.35
1990-02-08,8.34
1990-02-09,8.36
1990-02-12,8.29
1990-02-13,8.30
1990-02-14,8.32
1990-02-15,8.39
1990-02-16,8.35
1990-02-19,.
1990-02-20,8.24
1990-02-21,8.23
1990-02-22,8.20
1990-02-23,8.15
1990-02-26,8.23
1990-02-27,8.28
1990-02-28,8.32
1990-03-01,8.35
1990-03-02,8.42
1990-03-05,8.39
1990-03-06,8.48
1990-03-07,8.46
1990-03-08,8.54
1990-03-09,8.50
1990-03-12,8.51
1990-03-13,8.46
1990-03-14,8.48
1990-03-15,8.50
1990-03-16,8.58
1990-03-19,8.62
1990-03-20,8.57
1990-03-21,8.54
1990-03-22,8.44
1990-03-23,8.47
1990-03-26,8.49
1990-03-27,8.56
1990-03-28,8.57
1990-03-29,8.54
1990-03-30,8.53
1990-04-02,8.49
1990-04-03,8.60
1990-04-04,8.55
1990-04-05,8.54
1990-04-06,8.52
1990-04-09,8.54
1990-04-10,8.56
1990-04-11,8.56
1990-04-12,8.62
1990-04-13,.
1990-04-16,8.62
1990-04-17,8.62
1990-04-18,8.53
1990-04-19,8.46
1990-04-20,8.39
1990-04-23,8.30
1990-04-24,8.28
1990-04-25,8.32
1990-04-26,8.33
1990-04-27,8.25
1990-04-30,8.28
1990-05-01,8.32
1990-05-02,8.37
1990-05-03,8.40
1990-05-04,8.46
1990-05-07,8.52
1990-05-08,8.55
1990-05-09,8.56
1990-05-10,8.60
1990-05-11,8.77
1990-05-14,8.84
1990-05-15,8.84
1990-05-16,8.83
1990-05-17,8.85
1990-05-18,8.86
1990-05-21,8.95
1990-05-22,8.96
1990-05-23,8.98
1990-05-24,8.98
1990-05-25,8.90
1990-05-28,.
1990-05-29,9.02
1990-05-30,9.03
1990-05-31,9.04
1990-06-01,9.09
1990-06-04,9.19
